Total time: 00:06:39.473

Lap,Task,Start,Time,Date
200,,13:40:40,00:00:02.088,2025-08-20,
199,,13:40:38,00:00:01.927,2025-08-20,
198,,13:40:36,00:00:02.071,2025-08-20,
197,,13:40:34,00:00:02.137,2025-08-20,
196,,13:40:32,00:00:01.839,2025-08-20,
195,,13:40:30,00:00:02.056,2025-08-20,
194,,13:40:28,00:00:01.921,2025-08-20,
193,,13:40:26,00:00:02.016,2025-08-20,
192,,13:40:24,00:00:01.833,2025-08-20,
191,,13:40:22,00:00:02.128,2025-08-20,
190,,13:40:20,00:00:01.903,2025-08-20,
189,,13:40:18,00:00:02.024,2025-08-20,
188,,13:40:16,00:00:02.000,2025-08-20,
187,,13:40:14,00:00:02.033,2025-08-20,
186,,13:40:12,00:00:01.840,2025-08-20,
185,,13:40:10,00:00:01.985,2025-08-20,
184,,13:40:08,00:00:02.040,2025-08-20,
183,,13:40:06,00:00:02.056,2025-08-20,
182,,13:40:04,00:00:01.993,2025-08-20,
181,,13:40:02,00:00:01.882,2025-08-20,
180,,13:40:00,00:00:02.008,2025-08-20,
179,,13:39:58,00:00:02.200,2025-08-20,
178,,13:39:56,00:00:01.713,2025-08-20,
177,,13:39:54,00:00:02.112,2025-08-20,
176,,13:39:52,00:00:01.992,2025-08-20,
175,,13:39:50,00:00:01.938,2025-08-20,
174,,13:39:48,00:00:02.256,2025-08-20,
173,,13:39:46,00:00:01.729,2025-08-20,
172,,13:39:45,00:00:01.729,2025-08-20,
171,,13:39:42,00:00:02.089,2025-08-20,
170,,13:39:06,00:00:02.368,2025-08-20,
169,,13:39:04,00:00:01.874,2025-08-20,
168,,13:39:02,00:00:01.904,2025-08-20,
167,,13:39:00,00:00:01.946,2025-08-20,
166,,13:38:58,00:00:02.128,2025-08-20,
165,,13:38:56,00:00:01.914,2025-08-20,
164,,13:38:54,00:00:01.977,2025-08-20,
163,,13:38:52,00:00:01.937,2025-08-20,
162,,13:38:50,00:00:02.002,2025-08-20,
161,,13:38:48,00:00:01.921,2025-08-20,
160,,13:38:46,00:00:01.993,2025-08-20,
159,,13:38:44,00:00:01.994,2025-08-20,
158,,13:38:42,00:00:01.962,2025-08-20,
157,,13:38:40,00:00:02.042,2025-08-20,
156,,13:38:38,00:00:01.937,2025-08-20,
155,,13:38:36,00:00:02.178,2025-08-20,
154,,13:38:34,00:00:01.922,2025-08-20,
153,,13:38:32,00:00:01.977,2025-08-20,
152,,13:38:30,00:00:02.040,2025-08-20,
151,,13:38:28,00:00:01.891,2025-08-20,
150,,13:38:26,00:00:02.058,2025-08-20,
149,,13:38:24,00:00:01.882,2025-08-20,
148,,13:38:22,00:00:02.003,2025-08-20,
147,,13:38:21,00:00:01.914,2025-08-20,
146,,13:38:18,00:00:02.034,2025-08-20,
145,,13:38:16,00:00:02.314,2025-08-20,
144,,13:38:14,00:00:01.826,2025-08-20,
143,,13:38:13,00:00:01.795,2025-08-20,
142,,13:38:11,00:00:01.954,2025-08-20,
141,,13:38:09,00:00:01.913,2025-08-20,
140,,13:37:33,00:00:02.722,2025-08-20,
139,,13:37:31,00:00:01.962,2025-08-20,
138,,13:37:29,00:00:02.020,2025-08-20,
137,,13:37:27,00:00:02.034,2025-08-20,
136,,13:37:25,00:00:01.987,2025-08-20,
135,,13:37:23,00:00:01.988,2025-08-20,
134,,13:37:21,00:00:01.906,2025-08-20,
133,,13:37:19,00:00:02.044,2025-08-20,
132,,13:37:17,00:00:01.945,2025-08-20,
131,,13:37:15,00:00:02.115,2025-08-20,
130,,13:37:13,00:00:01.970,2025-08-20,
129,,13:37:11,00:00:01.931,2025-08-20,
128,,13:37:09,00:00:01.923,2025-08-20,
127,,13:37:07,00:00:01.971,2025-08-20,
126,,13:37:05,00:00:02.147,2025-08-20,
125,,13:37:03,00:00:01.939,2025-08-20,
124,,13:37:01,00:00:01.979,2025-08-20,
123,,13:36:59,00:00:01.963,2025-08-20,
122,,13:36:57,00:00:01.923,2025-08-20,
121,,13:36:55,00:00:02.027,2025-08-20,
120,,13:36:53,00:00:01.963,2025-08-20,
119,,13:36:51,00:00:01.979,2025-08-20,
118,,13:36:49,00:00:01.875,2025-08-20,
117,,13:36:47,00:00:02.227,2025-08-20,
116,,13:36:43,00:00:03.923,2025-08-20,
115,,13:36:41,00:00:01.964,2025-08-20,
114,,13:36:39,00:00:01.908,2025-08-20,
113,,13:36:37,00:00:01.932,2025-08-20,
112,,13:36:35,00:00:01.932,2025-08-20,
111,,13:36:33,00:00:01.928,2025-08-20,
110,,13:35:59,00:00:02.099,2025-08-20,
109,,13:35:57,00:00:02.107,2025-08-20,
108,,13:35:55,00:00:01.995,2025-08-20,
107,,13:35:53,00:00:01.937,2025-08-20,
106,,13:35:51,00:00:02.093,2025-08-20,
105,,13:35:49,00:00:01.876,2025-08-20,
104,,13:35:47,00:00:01.924,2025-08-20,
103,,13:35:45,00:00:02.052,2025-08-20,
102,,13:35:43,00:00:01.908,2025-08-20,
101,,13:35:41,00:00:02.156,2025-08-20,
100,,13:35:39,00:00:01.756,2025-08-20,
99,,13:35:37,00:00:02.125,2025-08-20,
98,,13:35:35,00:00:01.877,2025-08-20,
97,,13:35:33,00:00:01.979,2025-08-20,
96,,13:35:31,00:00:01.941,2025-08-20,
95,,13:35:30,00:00:01.740,2025-08-20,
94,,13:35:27,00:00:02.244,2025-08-20,
93,,13:35:25,00:00:02.093,2025-08-20,
92,,13:35:23,00:00:01.899,2025-08-20,
91,,13:35:21,00:00:02.061,2025-08-20,
90,,13:35:19,00:00:01.900,2025-08-20,
89,,13:35:17,00:00:02.053,2025-08-20,
88,,13:35:15,00:00:02.013,2025-08-20,
87,,13:35:13,00:00:02.108,2025-08-20,
86,,13:35:11,00:00:01.852,2025-08-20,
85,,13:35:09,00:00:01.853,2025-08-20,
84,,13:35:07,00:00:02.100,2025-08-20,
83,,13:35:06,00:00:01.532,2025-08-20,
82,,13:35:04,00:00:02.248,2025-08-20,
81,,13:34:30,00:00:02.124,2025-08-20,
80,,13:34:28,00:00:01.900,2025-08-20,
79,,13:34:26,00:00:01.958,2025-08-20,
78,,13:34:24,00:00:02.076,2025-08-20,
77,,13:34:22,00:00:01.957,2025-08-20,
76,,13:34:20,00:00:01.917,2025-08-20,
75,,13:34:18,00:00:01.884,2025-08-20,
74,,13:34:16,00:00:02.077,2025-08-20,
73,,13:34:14,00:00:01.597,2025-08-20,
72,,13:34:12,00:00:02.340,2025-08-20,
71,,13:34:10,00:00:01.948,2025-08-20,
70,,13:34:08,00:00:01.982,2025-08-20,
69,,13:34:06,00:00:01.733,2025-08-20,
68,,13:34:04,00:00:02.101,2025-08-20,
67,,13:34:02,00:00:02.286,2025-08-20,
66,,13:34:00,00:00:02.252,2025-08-20,
65,,13:33:58,00:00:01.670,2025-08-20,
64,,13:33:56,00:00:01.957,2025-08-20,
63,,13:33:54,00:00:01.917,2025-08-20,
62,,13:33:52,00:00:01.892,2025-08-20,
61,,13:33:50,00:00:01.982,2025-08-20,
60,,13:33:48,00:00:02.006,2025-08-20,
59,,13:33:46,00:00:02.045,2025-08-20,
58,,13:33:44,00:00:01.997,2025-08-20,
57,,13:33:42,00:00:01.989,2025-08-20,
56,,13:33:40,00:00:02.213,2025-08-20,
55,,13:33:38,00:00:01.885,2025-08-20,
54,,13:33:36,00:00:02.054,2025-08-20,
53,,13:33:34,00:00:02.014,2025-08-20,
52,,13:33:32,00:00:01.813,2025-08-20,
51,,13:33:31,00:00:01.768,2025-08-20,
50,,13:33:01,00:00:02.263,2025-08-20,
49,,13:32:59,00:00:02.047,2025-08-20,
48,,13:32:57,00:00:01.982,2025-08-20,
47,,13:32:55,00:00:01.933,2025-08-20,
46,,13:32:53,00:00:02.054,2025-08-20,
45,,13:32:51,00:00:01.965,2025-08-20,
44,,13:32:49,00:00:01.998,2025-08-20,
43,,13:32:47,00:00:01.989,2025-08-20,
42,,13:32:45,00:00:01.982,2025-08-20,
41,,13:32:43,00:00:02.047,2025-08-20,
40,,13:32:41,00:00:02.134,2025-08-20,
39,,13:32:39,00:00:01.959,2025-08-20,
38,,13:32:37,00:00:02.000,2025-08-20,
37,,13:32:35,00:00:01.878,2025-08-20,
36,,13:32:33,00:00:02.038,2025-08-20,
35,,13:32:31,00:00:02.055,2025-08-20,
